Bochum								
Bogota (Kolumbien)	Bogotá							
								
								
Bolama (Guinea-Bissau)	Bolama (Guinea)							
Bolivien	Bolvien							
Bolonga (Italien)								
Bolschakowo (Russland)								
								
								
								
Bombay (Indien)	Bombay (Britisch-Indien)	Bombay						
Bonn								
Boppard (am Rhein)								
Bordeaux (Frankreich)								
Bordesholm (bei Kiel)								
Borenzhof [?] bei Oberwaldach (Baden)								
Bormó								
Born a.d. Darss (Kreis Franzburg)								
Borneo								
Boston, Massachusetts, USA								
Bougainville								
Bourg-la-Reine (Hauts-de-Seine)‏								
Brandenburg a.d. Havel	Brandenburg/Havel							
								
Brannenburg								
Brasilien								
Brass (Niger-Delta)								
Braunsberg (Ostpreußen)								
Braunschweig								
Bremen								
Bremerhaven								
Bremerhaven-Geestemünde								
								
								
								
Breslau (heute Wrocław, Polen)	Breslau (Wrocławia), Schlesien	Breslau (Schlesien)	Breslau					
Brieg								
Brighton (Großbritannien)								
Britisch-Guayana								
Britisch-Indien								
Britisch-Neuguinea								
Britisch-Neuguinea, Santa-Cruz-Inseln								
Britisch-Ostafrika								
Britisch-Tibet								
British Columbia (Kanada/Canada)								
Brixton								
Bromberg								
Brooklyn								
Broom								
Brühl bei Köln								
Brüssel								
Brüssel (Belgien)	Brüssel (Bruxelles)							
								
Buchara (Usbekistan)								
								
Budapest (Ungarn)	Budapest							
Buea								
								
								
Buenos Aires (Argentinien)	Buenos Aires	Buenos Aires (Argentinen)						
Buer in Westfalen								
Bukoba (Ostafrika)								
Bulawayo								
Buloa								
Bumbuli (Usambara)								
Bundesstaat, Arizona								
Bundesstaat, Louisiana								
Bundesstaat, Mato Grosso	Bundesstaat, Matto Grosso							
								
Bundesstaat, Missouri								
Bundesstaat, New Mexico								
Bundesstaat, Northern Territory								
Bundesstaat, Virgina								
Bundesstaat, Western Australia								
Bunzlau								
Burgstall								
Burundi								
Buschir								
Bërut [Beirut]								
Bückeburg								
Büderich								
Bützow								
Calabrien								
Calamba (Provinz La Laguna, Luzon)								
Calchaquigebiet								
								
Calcutta (Indien)	Calcutta (Kalkutta)	Calcutta						
								
Camberwell (London)								
								
Cambridge (Großbritannien)	Cambridge							
Campden								
Campeche								
Cape Colony								
Cape Town (Südafrika)	Capetown (Südafrika)							
								
Caracas (Venezuela)								
Carlshafen								
Carlsruhe (Oberschlesien)								
Carlstadt								
Cartago								
Cartago (Costa Rica)								
Casabinda								
Casapalca (Peru)								
Casas Grandas								
Celebes (Sulawesi)								
								
Celle (Hannover)	Celle							
Cermakowitz/Cermákovice (Mähren, Tschechische Republik)								
								
Ceylon (Sri Lanka)	Ceylon							
Chaco (Argentinien)								
Chaco (Paraguay)								
Chamonix								
								
								
Charlottenburg bei Berlin	Charlottenburg (bei Berlin)	Charlottenburg						
Charlottenburg-Westend								
Chascomus (Argentinien)								
Chattanooga (Tennessee)								
Chefoo (Yantai)								
Chemnitz								
Chevillon								
								
Chicago (Vereinigte Staaten, USA)	Chicago							
Chile								
China								
China, China zu prüfen								
China, Taiwan (Formosa), Korea, Japan, Südsee								
Chinde								
Chinesisch-Turkestan								
Chiromo								
Chotscho								
Christiania								
Christmas Lake Valley (Oregon)								
Clayoquot (Vancouver Island)								
Coban (Guatemala)								
Coblenz (Koblenz)								
Coburg								
Cochinchina								
Colima (Mexiko)								
Collingwood Bay (Britisch Papua Neuguinea)								
Colmar, nachweislich von 24.4.1896-30.9.1899								
								
Colombo (Ceylon/Sri Lanka)	Colombo (Ceylon)							
Conceicaodo do Araguaya (Brasilien)								
Concepción (Chile)								
Constantia/Wynberg (Kapstadt)								
Constantinopel (Konstantinopel)								
Conway (Alaska)								
Cooktown								
Cora (Mexiko)								
								
Cordoba (Argentinien)	Cordoba							
Coron (Maine-et-Loire)								
Cossebaude								
Costa Rica								
Cottbus								
Courbevoie (bei Asnières/Seine)								
Crawfordsville (Indiana)								
Cresson (Pennsylvania)								
Crossen								
Cuddalore (Britisch Indien)								
Curitiba (Brasilien)								
Cuttack (Katak/Cuttek)								
								
Cuyaba (Cuiabá)	Cuyaba							
Cuzco								
Cöln (Köln)	Cöln [Köln]	Cöln am Rhein (Köln)						
								
								
Cöslin								
Danzig	Danzig (Schichau)	Danzig (Westpreußen)						
								
								
Dar es Saalam	Dar-es-Salaam	Daressalam (Dar-es-Salaam)	Daressalam (Dar-es-Salaam) (Tansania / Deutsch-Ostafrika)	Daressalam (Dar-es-Salam)				
								
								
								
								
Darmstadt								
Darnley Insel (Australien)								
David (Provinz Chiriquí)								
Dehra Dun								
Delaware								
Delft (Niederlande)								
