geoname	geoname1	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	geonameId	latitude	longitude
Bangkok (Thailand)	Bangkok (Thailand)	Bangkok	Bangkok (Siam)							1609350	13.75398	100.50144
	Bangladesch (Bengalen)											
Barcelona (Spanien)	Barcelona (Spanien)									3128760	41.38879	2.15899
Bari (Italien)	Bari (Italien)									3182351	41.12066	16.86982
Barmen	Barmen									3357087	-22.11144	16.74567
Barranquilla (Kolumbien)	Barranquilla (Kolumbien)									3689147	10.96854	-74.78132
Barsinghausen bei Hannover	Barsinghausen bei Hannover									2900206	52.38639	9.48446
Barth (Pommern)	Barth (Pommern)									6550705	54.3576	12.7142
Baruth (Mark)	Baruth (Mark)									7602464	52.05	13.5
	Barzwitz (bei Rügenwalde)											
Basel (Schweiz)	Basel (Schweiz)	Basel								2661604	47.55839	7.57327
Batak (Sumatra	Batak (Sumatra	Batakgebiet (Sumatra)								6716409	3.0971	99.0513
	Batavia (heute: Jakarta) (auf Java, Indonesien)											
	Batu Djadjar (Java)											
Bautzen	Bautzen									2951881	51.18035	14.43494
Bayaka	Bayaka									8276059	-5.40981	18.47444
Bayamon (Puerto Rico)	Bayamon (Puerto Rico)									4562831	18.39856	-66.15572
Bayern	Bayern									2951839	49	11.5
Bayreuth	Bayreuth									2951825	49.94782	11.57893
	Bazentin le Petit (bei Albert) (Frankreich)											
	Beagle Bay (Nordwest-Australien)											
Beeskow (Mark)	Beeskow (Mark)									11977758	52.16456	14.32992
Beijing (Peking) (China)	Beijing (Peking) (China)	Beijing (Peking) 北京	Beijing (Peking)							1816670	39.9075	116.39723
	Beilngries (Pfalz)											
Beira	Beira									1052373	-19.84361	34.83889
Beirut	Beirut									276781	33.89332	35.50157
Belem (Brasilien)	Belem (Brasilien)									3405870	-1.45583	-48.50444
Belgaum (Indien)	Belgaum (Indien)	Belagavi (Bundesstaat Karnataka)								1276533	15.85212	74.50447
Belgien	Belgien									2802361	50.75	4.5
Benares	Benares									1253405	25.31668	83.01041
Bengalen	Bengalen									1275004	22.56263	88.36304
Benin	Benin	Benin?								2395170	9.5	2.25
Bergedorf (bei Hamburg)	Bergedorf (bei Hamburg)									7290243	53.48462	10.22904
Bergen	Bergen									3161732	60.39299	5.32415
Berkeley, California	Berkeley, California									5327684	37.87159	-122.27275
Berlin	Berlin	Berlin, (1901)	Berlin, (kurzzeitig 1907)	Berlin, Erwerbungsvorgang	Berlin, als Gesandter (1886)		Berlin, https://de.wikipedia.org/wiki/Ernst_K%C3%BChnel	Berlin, tätig für bzw. im Museum für Völkerkunde Berlin	Berlin, um 1890	2950159	52.52437	13.41053
Berlin (Charlottenburg)	Berlin (Charlottenburg)									2940187	52.51667	13.28333
Berlin (Halensee)	Berlin (Halensee)									2911560	52.49401	13.27999
Berlin (Karolinenhof)	Berlin (Karolinenhof)									2892721	52.39231	13.63484
	Berlin oder Schweidnitz (Świdnica)											
	Berlin, Kaiser-Friedrich-Museum											
Berlin-Grunewald	Berlin-Grunewald									2914210	52.48338	13.26586
	Berlinhafen (Matty Inseln)											
	Berlinhafen, Deutsch- Neuguinea											
Bern	Bern									2661552	46.94809	7.44744
	Bezirk Ponape (Deutsch-Mikronesien)											
	Bezirk, Adamaua											
	Bezirk, Bamenda (Kamerun)											
Bezirk, Charlottenburg	Bezirk, Charlottenburg									2940187	52.51667	13.28333
	Bezirk, Dschung											
Bezirk, Lichtenberg	Bezirk, Lichtenberg									2878102	52.51395	13.49975
	Bezirk, Lindi											
Bezirk, Mödling (bei Wien / Österreich)	Bezirk, Mödling (bei Wien / Österreich)									2781463	48.13333	16.15
Bezirk, Pankow	Bezirk, Pankow									2855598	52.56926	13.40186
Bezirk, Schöneberg	Bezirk, Schöneberg									2836788	52.49801	13.3443
Bezirk, Steglitz	Bezirk, Steglitz									2829109	52.45606	13332
Bezirk, Treptow	Bezirk, Treptow									2821292	52.48863	13.4586
Bezirk, Wilmersdorf	Bezirk, Wilmersdorf	Bezirk, Wilmersdorf)								2808473	52.48333	13.31667
Bezirk, Zehlendorf	Bezirk, Zehlendorf									2805059	52.43333	13.25
Bhutan	Bhutan									1252634	27.5	90.5
	Bialystok, vgl. Inv.eintrag zu I A 3535											
Bielefeld	Bielefeld									2949186	52.03333	8.53333
	Bietigheim-Bissingen (bei Ludwigsburg)											
	Biganzolo (Italien)											
	Bijâpur (Bombay)											
	Bindjey											
Binningen (Schweiz)	Binningen (Schweiz)									2661499	47.54021	7.56932
Bipinde (Kamerun)	Bipinde (Kamerun)									2234002	3.07791	10.40907
	Birgel bei Düren (Rheinland)											
Birma	Birma									1327865	21	96
Bismarck-Archipel	Bismarck-Archipel									2099398	-5	150
	Bismarckburg (Togogebiet)											
Bixschoote	Bixschoote									2801935	50.92795	2.86267
Blankenese	Blankenese									2948066	53.55698	9.8059
Blankenfelde (Brandenburg)	Blankenfelde (Brandenburg)									6551178	52.3333	13.4
Blasewitz-Dresden	Blasewitz-Dresden	Blasewitz								2948000	51.05305	13.79831
Bloemfontein	Bloemfontein									1018725	-29.12107	26214
Bludenz (Vorarlberg)	Bludenz (Vorarlberg)									2781680	47.15476	9.82255
Blumenau	Blumenau									3469968	-26.91944	-49.06611
Blumenthal	Blumenthal									2960752	49.74492	6.26564
Bochum	Bochum									2947416	51.48165	7.21648
Bogota (Kolumbien)	Bogota (Kolumbien)	Bogotá								3688689	4.60971	-74.08175
Bolama (Guinea-Bissau)	Bolama (Guinea-Bissau)	Bolama (Guinea)								2374688	11.57694	-15.47611
Bolivien	Bolivien	Bolvien								3923057	-17	-65
	Bolonga (Italien)											
	Bolschakowo (Russland)											
Bombay (Indien)	Bombay (Indien)	Bombay (Britisch-Indien)	Bombay							1275339	19.07283	72.88261
Bonn	Bonn									6296510	50.87894	7.12292
Boppard (am Rhein)	Boppard (am Rhein)									10299641	50.21	7.63
Bordeaux (Frankreich)	Bordeaux (Frankreich)									3031582	44.84044	-0.5805
	Bordesholm (bei Kiel)											
	Borenzhof [?] bei Oberwaldach (Baden)											
Bormó	Bormó									12299767	8.78636	-77.62518
	Born a.d. Darss (Kreis Franzburg)											
Borneo	Borneo									1648148	1	114
